"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A560","2020-02-28 00:00:00","405.000","150.000","1.300","15.900","0.990","975.100","","1.500","-99.000","-99.000","-99.000","18.900","","15.900",""
"C0X190","2020-02-28 00:00:00","10.000","17.000","3.000","20.100","0.840","1018.200","","0.000","-99.000","-99.000","-99.000","25.700","","20.100",""
"C0S950","2020-02-28 00:00:00","415.000","61.000","0.400","18.100","0.880","973.400","","0.000","-99.000","-99.000","-99.000","21.400","","17.700",""
"C0A880","2020-02-28 00:00:00","6.000","0.000","0.000","18.900","0.960","1019.400","","4.500","-99.000","-99.000","-99.000","19.400","","17.800",""
"C0I530","2020-02-28 00:00:00","3014.000","215.000","2.900","3.200","0.620","704.600","","0.000","-99.000","-99.000","-99.000","10.200","","2.900",""
"C0M670","2020-02-28 00:00:00","43.000","360.000","1.000","18.800","0.850","1013.900","","0.000","-99.000","-99.000","-99.000","25.300","","18.800",""
"C0Z061","2020-02-28 00:00:00","174.000","84.000","0.900","17.700","0.990","1004.600","","1.000","-99.000","-99.000","-99.000","20.800","","17.700",""
"C0M730","2020-02-28 00:00:00","40.000","2.000","0.600","20.600","0.790","1014.000","","0.000","-99.000","-99.000","-99.000","28.700","","20.200",""
"C0U750","2020-02-28 00:00:00","398.000","121.000","5.600","16.800","1.000","974.900","","3.500","-99.000","-99.000","-99.000","17.000","","14.400",""
"C0A650","2020-02-28 00:00:00","287.000","0.000","0.100","17.500","0.990","988.200","","7.500","-99.000","-99.000","-99.000","17.500","","15.400",""
"C0K400","2020-02-28 00:00:00","65.000","31.000","0.300","18.400","0.990","1012.400","","0.000","-99.000","-99.000","-99.000","25.900","","18.400",""
"C0I370","2020-02-28 00:00:00","671.000","0.000","0.000","15.500","0.900","944.000","","0.000","-99.000","-99.000","-99.000","26.300","","13.400",""
"C0S750","2020-02-28 00:00:00","2280.000","275.000","1.300","6.200","1.000","778.100","","1.000","-99.000","-99.000","-99.000","17.600","","6.200",""
"C0R650","2020-02-28 00:00:00","29.000","0.000","0.000","21.400","0.990","1016.700","","0.000","-99.000","-99.000","-99.000","26.500","","20.700",""
"C0E740","2020-02-28 00:00:00","27.000","109.000","0.400","18.900","0.900","1010.400","","0.000","-99.000","-99.000","-99.000","23.300","","18.300",""
"C0E550","2020-02-28 00:00:00","84.000","0.000","0.000","17.700","0.900","1009.600","","0.000","-99.000","-99.000","-99.000","22.500","","17.700",""
"C0X060","2020-02-28 00:00:00","19.000","344.000","1.100","18.300","0.920","1019.000","","0.000","-99.000","-99.000","-99.000","27.500","","18.300",""
"C0R510","2020-02-28 00:00:00","31.000","339.000","0.900","21.700","0.830","1015.800","","0.000","-99.000","-99.000","-99.000","28.000","","21.000",""
"C0AC60","2020-02-28 00:00:00","55.000","75.000","4.100","19.500","0.990","1013.200","","0.000","11.000","34.000","","22.100","","17.600",""
"C0UA70","2020-02-28 00:00:00","547.000","89.000","5.500","16.100","0.990","959.400","","9.000","-99.000","-99.000","-99.000","16.100","","13.500",""
"C0G740","2020-02-28 00:00:00","24.000","31.000","1.500","19.000","0.840","1016.700","","0.000","-99.000","-99.000","-99.000","23.100","","18.500",""
"C0F9N0","2020-02-28 00:00:00","75.000","129.000","0.600","19.900","0.830","1010.400","","0.000","-99.000","-99.000","-99.000","27.200","","19.500",""
"C0F9T0","2020-02-28 00:00:00","111.000","337.000","1.400","18.200","0.890","1005.600","","0.000","-99.000","-99.000","-99.000","23.800","","18.100",""
"C0S710","2020-02-28 00:00:00","382.000","32.000","0.800","16.900","0.910","978.500","","0.000","-99.000","-99.000","-99.000","19.300","","16.700",""
"C0M680","2020-02-28 00:00:00","37.000","343.000","0.900","18.800","0.910","1016.800","","0.000","-99.000","-99.000","-99.000","26.200","","18.800",""
"C0X220","2020-02-28 00:00:00","26.000","30.000","1.400","19.300","0.850","1016.400","","0.000","-99.000","-99.000","-99.000","24.400","","19.100",""
"C0R560","2020-02-28 00:00:00","22.000","334.000","1.300","21.500","0.830","1016.900","","0.000","-99.000","-99.000","-99.000","26.300","","20.700",""
"C0F9P0","2020-02-28 00:00:00","26.000","35.000","2.800","18.900","0.900","1016.900","","0.000","-99.000","-99.000","-99.000","21.900","","18.700",""
"C0O970","2020-02-28 00:00:00","71.000","314.000","1.100","18.500","0.940","1011.400","","0.000","-99.000","-99.000","-99.000","29.500","","18.500",""
